Step: 4440064   Mean reward: 26.1875    Mean validation reward: 23.96875
Step: 4456448   Mean reward: 27.59375   Mean validation reward: 24.984375
Step: 4472832   Mean reward: 24.96875   Mean validation reward: 25.421875
Step: 4489216   Mean reward: 25.640625  Mean validation reward: 26.296875
Step: 4505600   Mean reward: 25.65625   Mean validation reward: 26.265625
Step: 4521984   Mean reward: 25.515625  Mean validation reward: 25.640625
Step: 4538368   Mean reward: 25.78125   Mean validation reward: 27.109375
Step: 4554752   Mean reward: 25.8125    Mean validation reward: 25.875
Step: 4571136   Mean reward: 25.75      Mean validation reward: 24.375
Step: 4587520   Mean reward: 26.375     Mean validation reward: 24.578125
Step: 4603904   Mean reward: 26.640625  Mean validation reward: 24.984375
Step: 4620288   Mean reward: 25.9375    Mean validation reward: 24.453125
Step: 4636672   Mean reward: 24.78125   Mean validation reward: 24.25
Step: 4653056   Mean reward: 26.53125   Mean validation reward: 26.15625
Step: 4669440   Mean reward: 26.234375  Mean validation reward: 24.984375
Step: 4685824   Mean reward: 24.875     Mean validation reward: 25.078125
Step: 4702208   Mean reward: 25.453125  Mean validation reward: 26.53125
Step: 4718592   Mean reward: 27.0       Mean validation reward: 25.4375
Step: 4734976   Mean reward: 27.03125   Mean validation reward: 25.1875
Step: 4751360   Mean reward: 27.171875  Mean validation reward: 25.703125
Step: 4767744   Mean reward: 25.296875  Mean validation reward: 26.65625
Step: 4784128   Mean reward: 25.9375    Mean validation reward: 25.921875
Step: 4800512   Mean reward: 27.296875  Mean validation reward: 25.78125
Step: 4816896   Mean reward: 27.421875  Mean validation reward: 25.6875
Step: 4833280   Mean reward: 28.0       Mean validation reward: 25.71875
Step: 4849664   Mean reward: 26.03125   Mean validation reward: 25.71875
Step: 4866048   Mean reward: 26.09375   Mean validation reward: 25.609375
Step: 4882432   Mean reward: 26.5625    Mean validation reward: 25.203125
Step: 4898816   Mean reward: 25.9375    Mean validation reward: 25.90625
Step: 4915200   Mean reward: 26.015625  Mean validation reward: 25.28125
Step: 4931584   Mean reward: 26.125     Mean validation reward: 26.03125
Step: 4947968   Mean reward: 26.25      Mean validation reward: 25.484375
Step: 4964352   Mean reward: 26.28125   Mean validation reward: 24.546875
Step: 4980736   Mean reward: 25.21875   Mean validation reward: 25.0
Step: 4997120   Mean reward: 26.0       Mean validation reward: 25.734375
Step: 5013504   Mean reward: 25.984375  Mean validation reward: 25.84375
Step: 5029888   Mean reward: 25.75      Mean validation reward: 25.078125
Step: 5046272   Mean reward: 26.90625   Mean validation reward: 25.609375
